句子,字,释义,例子,正确选项（填序号）：,,
,,,<例句：久之，目似瞑，意暇甚>,,,
《【诗】》曰：‘嘉乐君子，宪宪令德,诗,1、<名>一种文学体裁；诗歌,<例句：时人伤之，为诗云尔。>,2,,
,,2、<名>指《诗经》,<例句：诗云：‘他人有心，予忖度之。’>,,,
《诗》【曰】：‘嘉乐君子，宪宪令德,曰,1、<动>说,<例句：君子曰：学不可以已。>,1,,
,,2、<动>称为,<例句：齐有处士曰钟离子。>,,,
,,3、<动>是，举例时用,<例句：按诸五人，曰颜佩伟，杨念如……>,,,
,,4、<动>为,<例句：先帝称之曰能。>,,,
,,5、<助>用于句首,<例句：曰为改岁，入此室处。>,,,
《诗》曰：‘【嘉】乐君子，宪宪令德,嘉,1、<形>美好；美好的,<例句：嘉木异石错置，皆山水之奇者。>,1,,
,,2、<动>赞美；嘉奖,<例句：余嘉其能行古道，作《师说》以贻之。>,,,
,,3、<动>感激；感谢,<例句：非起也敢专承之，其自桓叔以下，嘉吾子之赐。>,,,
,,4、<动>欢乐；高兴；喜悦,<例句：上大嘉悦，诏赐抚臣名马衣缎。>,,,
《诗》曰：‘嘉【乐】君子，宪宪令德,乐,1、<名>音乐,<例句：今夜闻君琵琶语，如听仙乐耳暂明。>,4,,
,,2、<名>乐器,<例句：掌六律六同之和……以为乐器。>,,,
,,3、<动>欣赏音乐,<例句：独乐乐，与人乐乐，孰乐？>,,,
,,4、<形>快乐,<例句：所以游目骋怀，足以极视听之娱，信可乐也。>,,,
,,5、<名>乐趣,<例句：此乐何极。>,,,
,,6、<动>喜欢；乐意,<例句：人未有不乐为治平之民者也。>,,,
,,7、<名>音乐,<例句：今夜闻君琵琶语，如听仙乐耳暂明。>,,,
,,8、<名>乐器,<例句：掌六律六同之和……以为乐器。>,,,
,,9、<动>欣赏音乐,<例句：独乐乐，与人乐乐，孰乐？>,,,
,,10、<形>快乐,<例句：所以游目骋怀，足以极视听之娱，信可乐也。>,,,
,,11、<名>乐趣,<例句：此乐何极。>,,,
,,12、<动>喜欢；乐意,<例句：人未有不乐为治平之民者也。>,,,
《诗》曰：‘嘉乐君【子】，宪宪令德,子,1、<名>婴儿,<例句：干、越。夷貉之子，生而同声，长而异俗。>,4,,
,,2、<名>孩子,<例句：率妻子邑人来此绝境。>,,,
,,3、<名>儿子或女儿,<例句：而长子迈将赴饶之德兴尉。>,,,
,,4、<名>对人的尊称,<例句：您>,,,
,,,<例句：子何恃而往？>,,,
,,5、<名>泛指人,<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>,,,
,,6、<名>特称孔子,<例句：子曰：‘岁寒，然后知松柏之后凋也。’>,,,
,,7、<名>地支的第一位,<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>,,,
,,8、通“仔”,<例句：仔细>,,,
,,,<例句：详缓看字，子细分明读之。>,,,
,,9、<名>婴儿,<例句：干、越。夷貉之子，生而同声，长而异俗。>,,,
,,10、<名>孩子,<例句：率妻子邑人来此绝境。>,,,
,,11、<名>儿子或女儿,<例句：而长子迈将赴饶之德兴尉。>,,,
,,12、<名>对人的尊称,<例句：您>,,,
,,,<例句：子何恃而往？>,,,
,,13、<名>泛指人,<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>,,,
,,14、<名>特称孔子,<例句：子曰：‘岁寒，然后知松柏之后凋也。’>,,,
,,15、<名>地支的第一位,<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>,,,
,,16、通“仔”,<例句：仔细>,,,
,,,<例句：详缓看字，子细分明读之。>,,,
,,17、<名>婴儿,<例句：干、越。夷貉之子，生而同声，长而异俗。>,,,
,,18、<名>孩子,<例句：率妻子邑人来此绝境。>,,,
,,19、<名>儿子或女儿,<例句：而长子迈将赴饶之德兴尉。>,,,
,,20、<名>对人的尊称,<例句：您>,,,
,,,<例句：子何恃而往？>,,,
,,21、<名>泛指人,<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>,,,
,,22、<名>特称孔子,<例句：子曰：‘岁寒，然后知松柏之后凋也。’>,,,
,,23、<名>地支的第一位,<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>,,,
,,24、通“仔”,<例句：仔细>,,,
,,,<例句：详缓看字，子细分明读之。>,,,
《诗》曰：‘嘉乐君子，【宪】宪令德,宪,1、<名>法令；法律,<例句：怀王使屈原造为宪令。>,0,,
,,2、<动>效法,<例句：王之元舅，文武是宪。>,,,
《诗》曰：‘嘉乐君子，宪【宪】令德,,1、<名>法令；法律,<例句：怀王使屈原造为宪令。>,0,,
,,2、<动>效法,<例句：王之元舅，文武是宪。>,,,
《诗》曰：‘嘉乐君子，宪宪【令】德,令,1、<动>命令；下令,<例句：乃令骑皆下马步行，持短兵接战。>,6,,
,,2、<动>使；让,<例句：每字为一印，火烧令坚。>,,,
,,3、<名>法令；命令,<例句：王使屈平为令，众莫不知。>,,,
,,4、<名>官名,<例句：尚书令>,,,
,,,<例句：太史令>,,,
,,,<例句：陈守令皆不在，独守丞与战谯门中。>,,,
,,5、<名>时令；时节,<例句：群葩当令时，只在花开之数日。>,,,
,,6、<形>好；善,<例句：何患令名不彰邪？>,,,
,,7、<连>表示假设，相当于“假使”、“假若”,<例句：令五人者保其首领以老于户牖之下。>,,,
,,8、<形>对别人亲属的敬称,<例句：不堪吏人妇，岂合令郎君？>,,,
,,,<例句：多亏令弟看的破，息下来了。>,,,
,,9、<动>命令；下令,<例句：乃令骑皆下马步行，持短兵接战。>,,,
,,10、<动>使；让,<例句：每字为一印，火烧令坚。>,,,
,,11、<名>法令；命令,<例句：王使屈平为令，众莫不知。>,,,
,,12、<名>官名,<例句：尚书令>,,,
,,,<例句：太史令>,,,
,,,<例句：陈守令皆不在，独守丞与战谯门中。>,,,
,,13、<名>时令；时节,<例句：群葩当令时，只在花开之数日。>,,,
,,14、<形>好；善,<例句：何患令名不彰邪？>,,,
,,15、<连>表示假设，相当于“假使”、“假若”,<例句：令五人者保其首领以老于户牖之下。>,,,
,,16、<形>对别人亲属的敬称,<例句：不堪吏人妇，岂合令郎君？>,,,
,,,<例句：多亏令弟看的破，息下来了。>,,,
,,17、<动>命令；下令,<例句：乃令骑皆下马步行，持短兵接战。>,,,
,,18、<动>使；让,<例句：每字为一印，火烧令坚。>,,,
,,19、<名>法令；命令,<例句：王使屈平为令，众莫不知。>,,,
,,20、<名>官名,<例句：尚书令>,,,
,,,<例句：太史令>,,,
,,,<例句：陈守令皆不在，独守丞与战谯门中。>,,,
,,21、<名>时令；时节,<例句：群葩当令时，只在花开之数日。>,,,
,,22、<形>好；善,<例句：何患令名不彰邪？>,,,
,,23、<连>表示假设，相当于“假使”、“假若”,<例句：令五人者保其首领以老于户牖之下。>,,,
,,24、<形>对别人亲属的敬称,<例句：不堪吏人妇，岂合令郎君？>,,,
,,,<例句：多亏令弟看的破，息下来了。>,,,
【宜】民宜人，受禄于天，保佑命之，自天申之,宜,1、<形>适宜；合适,<例句：世易时移，变法宜矣。>,1,,
,,2、<动>应当；应该,<例句：不宜妄自菲薄，引喻失义，以塞忠谏之路也。>,,,
,,3、<副>大概；也许,<例句：将军擒操，宜在今日。>,,,
,,4、<副>当然,<例句：宜乎百姓之谓我爱也。>,,,
,,5、<名>事宜；事情,<例句：悠悠非吾匹，畴昔应俗宜？>,,,
宜【民】宜人，受禄于天，保佑命之，自天申之,民,1、<名>古指奴隶，泛指庶民百姓,<例句：古者有四民：有士民，有商民，有农民，有工民。>,1,,
,,2、<名>人,<例句：上古之世，……民食果蓏蜯蛤，腥臊恶臭而伤腹胃，民多疾病。>,,,
宜民【宜】人，受禄于天，保佑命之，自天申之,宜,1、<形>适宜；合适,<例句：世易时移，变法宜矣。>,1,,
,,2、<动>应当；应该,<例句：不宜妄自菲薄，引喻失义，以塞忠谏之路也。>,,,
,,3、<副>大概；也许,<例句：将军擒操，宜在今日。>,,,
,,4、<副>当然,<例句：宜乎百姓之谓我爱也。>,,,
,,5、<名>事宜；事情,<例句：悠悠非吾匹，畴昔应俗宜？>,,,
宜民宜【人】，受禄于天，保佑命之，自天申之,人,1、<名>人类,<例句：夫天者，人之始也。>,2,,
,,2、<名>人民；众人,<例句：人之立志，顾不如蜀鄙之僧哉?>,,,
,,,<例句：非独贤者有是心也，人皆有之。>,,,
,,3、<名>别人；他们,<例句：老吾老，以及人人之老。>,,,
,,4、<名>人才；杰出的人物,<例句：子无谓秦无人，吾谋适不用也。>,,,
,,5、<名>人品；人的品德操行,<例句：是其为人也，有粮者亦食，无粮者亦食。>,,,
宜民宜人，受【禄】于天，保佑命之，自天申之,禄,1、<名>福；福气,<例句：儿已薄禄相，幸复得此妇。>,2,,
,,2、<名>俸禄，指官吏的薪俸,<例句：故舍汝而旅食京师，以求斗斛之禄。>,,,
宜民宜人，受禄【于】天，保佑命之，自天申之,于,1、放在形容词之后，表示比较，一般可译为"比"。有时可译为"胜过"。,<例句：良曰："长于臣"。>,0,,
,,,<例句：冰，水为之，而寒于水。>,,,
,,2、有时则只是表示对象的性质和状态，可不译。,<例句：非常之谋难于猝发……>,,,
,,3、"受"等字和它相应。,<例句：或脱身以逃，不能容于远近……>,,,
,,,<例句：臣诚恐见欺于王而负赵……>,,,
,,,<例句：吾不能举全吴之地，十万之众，受制于人……>,,,
,,4、放在句子开头，表前后的承接或因果关系，与承接连词或因果连词相同。现代汉语也这样用。,<例句：于是秦王不悦，为击缻。>,,,
,,,<例句：吴之民方痛心焉，于是乘其厉声以呵，则噪而相逐。>,,,
宜民宜人，受禄于【天】，保佑命之，自天申之,天,1、<名>天空,<例句：是日也，天朗气清，惠风和畅。>,4,,
,,,<例句：其容清明，天高日晶。>,,,
,,,<例句：天似穹庐，笼盖四野。>,,,
,,2、<名>天气；气候,<例句：可怜身上衣正单，心忧炭贱愿天寒。>,,,
,,3、<名>自然；本性,<例句：依乎天理，批大郤，导大窾。>,,,
,,4、<名>古代人们想像中万事万物的主宰者,<例句：秦违蹇叔而以贪勤民，天奉我也。>,,,
,,,<例句：隘而不列，天赞我也。>,,,
,,,<例句：此天亡我也，非战之罪也。>,,,
,,5、<名>人们赖以生存的人物,<例句：王者以民人为天，而民人以食为天。>,,,
宜民宜人，受禄于天，【保】佑命之，自天申之,保,1、<动>抚养,<例句：虽慈母不能保其子君安能以有其民哉。>,0,,
,,2、<动>保卫;保守,<例句：若跨有荆、益保其岩阻。>,,,
,,,<例句：倘魏兵骤至四面围定将何策保之。>,,,
,,3、:<动>保存;保全,<例句：升死其印为予群从所得至今保藏。>,,,
,,4、<动>担保;保证,<例句：保为将军破之。>,,,
,,5、<名>仆役;佣工,<例句：(布)穷困赁佣于齐为酒人保。>,,,
,,7、<名>通“褓”,<例句：昔成王幼小越在襁保。>,,,
宜民宜人，受禄于天，保佑【命】之，自天申之,命,1、<动>差使；命令,<例句：或命巾车，或棹孤舟。>,6,,
,,2、<名>命令,<例句：臣以供养无主，辞不赴命。>,,,
,,3、<名>命运；天命,<例句：大命将泛，莫之振救。>,,,
,,,<例句：死生有命，富贵在天。>,,,
,,4、<名>生命,<例句：母孙二人，更相为命。>,,,
,,5、<动>命名,<例句：凡六百一十六言，命曰《琵琶行》。>,,,
,,6、<动>任用,<例句：天子疏爵以命之。>,,,
宜民宜人，受禄于天，保佑命【之】，自天申之,之,1、指示代词，表近指。可译为"这"，通常作复指性定语。,<例句：均之二策。>,5,,
,,2、之间，可译为"的"，有的可不译。,<例句：若能以吴、越之众与中国抗衡。>,,,
,,3、和补语之间，可译为"得"。,<例句：古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。>,,,
,,4、 结构助词。当主谓短语在句中作主语、宾语或一个分句时，"之"用在主语和谓语之间，起取消句子独立性的作用，可不译。译时可省去。,<例句：师道之不传也久矣！欲人之无惑也难矣！>,,,
,,,<例句：悍吏之来吾乡，叫嚣乎东西。>,,,
,,,<例句：孤之有孔明，犹鱼之有水也。>,,,
,,5、音节助词，用在形容词、副词或某些动词的末尾，或用在三个字之间，使之凑成四个字，只起调整音节的作用，无义，译时应省去。,<例句：顷之，烟炎张天。>,,,
,,,<例句：毛先生以三寸之舌，强于百万之师。>,,,
,,,<例句：久之，目似瞑，意暇甚>,,,
宜民宜人，受禄于天，保佑命之，【自】天申之,自,1、<代>自己,<例句：庞涓自知智穷兵败，乃自刭。>,6,,
,,,<例句：于是焉河伯欣然自喜。>,,,
,,2、<副>亲自,<例句：赵王及平原君自迎公子于界。>,,,
,,,<例句：项王乃悲歌慷慨，自为诗曰……。>,,,
,,3、<代>其；他（她）的,<例句：中有双飞鸟，自名为鸳鸯。>,,,
,,,<例句：秦氏有好女，自。名为罗敷>,,,
,,4、<副>原来；本来,<例句：使君自有妇，罗敷。有夫>,,,
,,,<例句：我自不驱卿，逼迫有阿母。>,,,
,,5、<副>自然；当然,<例句：以手拂之，其印自落，殊不沾污。>,,,
,,,<例句：思念存想，自见异物也。>,,,
,,6、<介>从；由,<例句：其剑自舟中坠于水。>,,,
,,,<例句：越明年，贫者自南海还。>,,,
,,7、<介>在；自从,<例句：自三峡七百里中，两岸连山，略无阙处。>,,,
,,,<例句：自君别我后，人事不可量。>,,,
,,8、<连>常“自非”连用，相当于“除非”、“假如不是”,<例句：自非亭午夜分，不见曦月。>,,,
,,,<例句：唯圣人能内外无患，自非圣人，外宁必有内忧。>,,,
,,9、<连>表示让步，相当于“即使”,<例句：昌为人强力，敢直言，自萧、曹等皆卑下之。>,,,
,,10、<助>增音节，不译,<例句：物物各自异。种种在其中。>,,,
宜民宜人，受禄于天，保佑命之，自【天】申之,天,1、<名>天空,<例句：是日也，天朗气清，惠风和畅。>,4,,
,,,<例句：其容清明，天高日晶。>,,,
,,,<例句：天似穹庐，笼盖四野。>,,,
,,2、<名>天气；气候,<例句：可怜身上衣正单，心忧炭贱愿天寒。>,,,
,,3、<名>自然；本性,<例句：依乎天理，批大郤，导大窾。>,,,
,,4、<名>古代人们想像中万事万物的主宰者,<例句：秦违蹇叔而以贪勤民，天奉我也。>,,,
,,,<例句：隘而不列，天赞我也。>,,,
,,,<例句：此天亡我也，非战之罪也。>,,,
,,5、<名>人们赖以生存的人物,<例句：王者以民人为天，而民人以食为天。>,,,
宜民宜人，受禄于天，保佑命之，自天【申】之,申,1、<动>通“伸”,<例句：主上屈法申恩，吞舟是漏。>,0,,
,,2、<动>申述；说明,<例句：主疑重所取，重不自申说。>,,,
,,3、<动>重申；重复,<例句：谨庠序之教，申之以孝悌之义。>,,,
宜民宜人，受禄于天，保佑命之，自天申【之】,之,1、指示代词，表近指。可译为"这"，通常作复指性定语。,<例句：均之二策。>,1,,
,,2、之间，可译为"的"，有的可不译。,<例句：若能以吴、越之众与中国抗衡。>,,,
,,3、和补语之间，可译为"得"。,<例句：古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。>,,,
,,4、 结构助词。当主谓短语在句中作主语、宾语或一个分句时，"之"用在主语和谓语之间，起取消句子独立性的作用，可不译。译时可省去。,<例句：师道之不传也久矣！欲人之无惑也难矣！>,,,
,,,<例句：悍吏之来吾乡，叫嚣乎东西。>,,,
,,,<例句：孤之有孔明，犹鱼之有水也。>,,,
,,5、音节助词，用在形容词、副词或某些动词的末尾，或用在三个字之间，使之凑成四个字，只起调整音节的作用，无义，译时应省去。,<例句：顷之，烟炎张天。>,,,
,,,<例句：毛先生以三寸之舌，强于百万之师。>,,,
,,,<例句：久之，目似瞑，意暇甚>,,,
’【故】大德者必受命,故,1、<名>事故；变故,<例句：今也不幸至于大故。>,11,,
,,,<例句：乡园多故，不能不动客子之愁。>,,,
,,2、<名>缘故；原因,<例句：赵王岂以一璧之故欺秦邪？>,,,
,,3、<形>旧；旧的；原来的,<例句：此为其故迹，岂信然邪？>,,,
,,4、<副>旧时；从前,<例句：轩东故尝为厨，人往，从轩前过。>,,,
,,5、<名>老朋友；旧交情,<例句：若非故人乎？>,,,
,,,<例句：君安与项伯有故？>,,,
,,6、<形>衰退；衰老,<例句：暮去春来颜色故。>,,,
,,7、<动>死亡；去世,<例句：目今其祖早故，只有个儿子。>,,,
,,8、<副>故意；特意,<例句：将尉醉，广故数言欲亡，忿恚尉。>,,,
,,9、<副>还是；仍然,<例句：大人故嫌迟。>,,,
,,10、<副>通“固”，本来,<例句：此物故非西产。>,,,
,,11、<连>所以；因此,<例句：其志洁，故其称物芳。>,,,
’故大德【者】必受命,者,1、助词，主要有两种用法。一种是附在别的词或短语之后，组成名词性短语。,<例句：将藏之于家，使来者读之，悲予志焉。>,1,,
,,,<例句：用叶者取叶初长足时，用芽者自从本说，用花者取花初敷时，用实者成实时采。>,,,
,,2、"者"的另一种用法是放在一个词或一组词后边，起提顿作用，先用"……者"提出在说明的事物，稍微停顿一下，然后说明或论断。,<例句：大阉之乱，缙绅而能不易其志者，四海之大，有几人欤？>,,,
,,,<例句：古之让天子者，是去监门之养而离臣虏之劳也。>,,,
,,3、"者"有时放在时间副词之后，起语助作用，可不译。,<例句：今者项庄拔剑舞，其意常在沛公也。>,,,
,,4、"者"有时放在数词后边，可译为"个""样"之类。,<例句：此数者用兵之患也，而操皆冒行之。>,,,
’故大德者【必】受命,必,1、<形>一定;必然,<例句：人无远虑必有近忧。>,1,,
,,2、<副>一定会,<例句：我见相如必辱之。>,,,
,,"3、<副>果真,如果",<例句：王必无人臣愿奉璧往使。>,,,
,,4、<动>一完定执行或实行,<例句：罚莫如重而必使民畏之。>,,,
,,5、<动>坚决做到,<例句：无参验而必之者愚也。>,,,
’故大德者必受【命】,命,1、<动>差使；命令,<例句：或命巾车，或棹孤舟。>,3,,
,,2、<名>命令,<例句：臣以供养无主，辞不赴命。>,,,
,,3、<名>命运；天命,<例句：大命将泛，莫之振救。>,,,
,,,<例句：死生有命，富贵在天。>,,,
,,4、<名>生命,<例句：母孙二人，更相为命。>,,,
,,5、<动>命名,<例句：凡六百一十六言，命曰《琵琶行》。>,,,
,,6、<动>任用,<例句：天子疏爵以命之。>,,,
【子】曰：“无忧者，其惟文王乎！以王季为父，以武王为子，父作之，子述之,子,1、<名>婴儿,<例句：干、越。夷貉之子，生而同声，长而异俗。>,6,,
,,2、<名>孩子,<例句：率妻子邑人来此绝境。>,,,
,,3、<名>儿子或女儿,<例句：而长子迈将赴饶之德兴尉。>,,,
,,4、<名>对人的尊称,<例句：您>,,,
,,,<例句：子何恃而往？>,,,
,,5、<名>泛指人,<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>,,,
,,6、<名>特称孔子,<例句：子曰：‘岁寒，然后知松柏之后凋也。’>,,,
,,7、<名>地支的第一位,<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>,,,
,,8、通“仔”,<例句：仔细>,,,
,,,<例句：详缓看字，子细分明读之。>,,,
,,9、<名>婴儿,<例句：干、越。夷貉之子，生而同声，长而异俗。>,,,
,,10、<名>孩子,<例句：率妻子邑人来此绝境。>,,,
,,11、<名>儿子或女儿,<例句：而长子迈将赴饶之德兴尉。>,,,
,,12、<名>对人的尊称,<例句：您>,,,
,,,<例句：子何恃而往？>,,,
,,13、<名>泛指人,<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>,,,
,,14、<名>特称孔子,<例句：子曰：‘岁寒，然后知松柏之后凋也。’>,,,
,,15、<名>地支的第一位,<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>,,,
,,16、通“仔”,<例句：仔细>,,,
,,,<例句：详缓看字，子细分明读之。>,,,
,,17、<名>婴儿,<例句：干、越。夷貉之子，生而同声，长而异俗。>,,,
,,18、<名>孩子,<例句：率妻子邑人来此绝境。>,,,
,,19、<名>儿子或女儿,<例句：而长子迈将赴饶之德兴尉。>,,,
,,20、<名>对人的尊称,<例句：您>,,,
,,,<例句：子何恃而往？>,,,
,,21、<名>泛指人,<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>,,,
,,22、<名>特称孔子,<例句：子曰：‘岁寒，然后知松柏之后凋也。’>,,,
,,23、<名>地支的第一位,<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>,,,
,,24、通“仔”,<例句：仔细>,,,
,,,<例句：详缓看字，子细分明读之。>,,,
子【曰】：“无忧者，其惟文王乎！以王季为父，以武王为子，父作之，子述之,曰,1、<动>说,<例句：君子曰：学不可以已。>,1,,
,,2、<动>称为,<例句：齐有处士曰钟离子。>,,,
,,3、<动>是，举例时用,<例句：按诸五人，曰颜佩伟，杨念如……>,,,
,,4、<动>为,<例句：先帝称之曰能。>,,,
,,5、<助>用于句首,<例句：曰为改岁，入此室处。>,,,
子曰：“【无】忧者，其惟文王乎！以王季为父，以武王为子，父作之，子述之,无,1、<动>没有,<例句：黔无驴，有好事者船载以入。>,1,,
,,2、<副>不；别,<例句：硕鼠硕鼠，无食我麦。>,,,
,,3、<连>不论；无论,<例句：是故无贵无贱，无长无少，道之所存师之所存也。>,,,
,,4、<形>贫穷；无资财,<例句：礼生于有而废于无。>,,,
子曰：“无【忧】者，其惟文王乎！以王季为父，以武王为子，父作之，子述之,忧,1、<动>忧虑,<例句：居庙堂之高则忧其。>,2,,
,,2、<名>让人忧虑的事情,<例句：人无远虑，必有近忧。>,,,
子曰：“无忧【者】，其惟文王乎！以王季为父，以武王为子，父作之，子述之,者,1、助词，主要有两种用法。一种是附在别的词或短语之后，组成名词性短语。,<例句：将藏之于家，使来者读之，悲予志焉。>,1,,
,,,<例句：用叶者取叶初长足时，用芽者自从本说，用花者取花初敷时，用实者成实时采。>,,,
,,2、"者"的另一种用法是放在一个词或一组词后边，起提顿作用，先用"……者"提出在说明的事物，稍微停顿一下，然后说明或论断。,<例句：大阉之乱，缙绅而能不易其志者，四海之大，有几人欤？>,,,
,,,<例句：古之让天子者，是去监门之养而离臣虏之劳也。>,,,
,,3、"者"有时放在时间副词之后，起语助作用，可不译。,<例句：今者项庄拔剑舞，其意常在沛公也。>,,,
,,4、"者"有时放在数词后边，可译为"个""样"之类。,<例句：此数者用兵之患也，而操皆冒行之。>,,,
子曰：“无忧者，【其】惟文王乎！以王季为父，以武王为子，父作之，子述之,其,2、第三人称代词。一般代人，用在动词或形容词之前，作主谓短语中的小主语。,<例句：秦王恐其破璧（《廉颇蔺相如列传》）"其破璧"作宾语）\n>,6,,
,,3、的"。,<例句：今肃迎操，操当以肃还付乡党，品其名位，犹不失下曹从事。>,,,
,,,<例句：而余亦悔其随之而不得极夫游之乐也。>,,,
,,4、指示代词，表远指。作定语，可译为"那""那个""那些""那里"。,<例句：则或咎其欲出者。>,,,
,,,<例句：今操得荆州，奄有其地。>,,,
,,5、指示代词，表示"其中的"，后面多为数词。,<例句：于乱石间择其一二扣之。>,,,
,,6、指示代词，表示近指，相当于“这”，“这个”，“这些”。,<例句：有蒋氏者，专其利三世矣。>,,,
子曰：“无忧者，其【惟】文王乎！以王季为父，以武王为子，父作之，子述之,惟,1、<动>思考；考虑,<例句：惟王君之心，岂爱人之善。>,2,,
,,,<例句：伏惟圣朝以孝治天下。>,,,
,,2、<副>只；只是,<例句：不闻机杼声，惟闻女叹息。>,,,
,,3、<介>因为,<例句：惟思既往也故生留恋心。>,,,
,,4、<助>句首表语气希望,<例句：惟先生速图。>,,,
,,,<例句：惟>,,,
,,,<例句：唯>,,,
,,,<例句：维>,,,
,,,<例句：思>,,,
,,,<例句：惟>,,,
,,,<例句：维>,,,
,,,<例句：只>,,,
,,,<例句：惟>,,,
,,,<例句：唯>,,,
子曰：“无忧者，其惟【文】王乎！以王季为父，以武王为子，父作之，子述之,文,1、<名>线条交错的图形；花纹,<例句：纹>,0,,
,,,<例句：荆有长松文梓楩楠豫章。>,,,
,,2、<形>华美；有文彩的,<例句：黄金千斤，文车二驷，服剑一。>,,,
,,3、<名>文章,<例句：醉能同其乐，醒能述以文者，太守也。>,,,
,,4、<名>文字,<例句：独其文犹可识。>,,,
,,5、<名>非军事的，与“武”相对,<例句：文武并用，垂拱而治。>,,,
,,6、<动>在身上刺花纹，叫“文身”,<例句：越人断发文身。>,,,
,,7、<名>文化；文教,<例句：文王既没，文不在兹乎？>,,,
,,8、<量>用于旧时的铜钱，古称铜钱一枚为一文,<例句：在市铜价，八十一文得铜一斤，私造薄钱，斤馀二百。>,,,
,,9、<动>修饰；掩盖,<例句：小人之过也必文。>,,,
,,,<例句：文过饰非>,,,
,,10、<名>规定、仪式,<例句：仪者必又曰：省去繁文末节，则一岁可以再郊。>,,,
,,,<例句：繁文缛节>,,,
,,11、<名>线条交错的图形；花纹,<例句：纹>,,,
,,,<例句：荆有长松文梓楩楠豫章。>,,,
,,12、<形>华美；有文彩的,<例句：黄金千斤，文车二驷，服剑一。>,,,
,,13、<名>文章,<例句：醉能同其乐，醒能述以文者，太守也。>,,,
,,14、<名>文字,<例句：独其文犹可识。>,,,
,,15、<名>非军事的，与“武”相对,<例句：文武并用，垂拱而治。>,,,
,,16、<动>在身上刺花纹，叫“文身”,<例句：越人断发文身。>,,,
,,17、<名>文化；文教,<例句：文王既没，文不在兹乎？>,,,
,,18、<量>用于旧时的铜钱，古称铜钱一枚为一文,<例句：在市铜价，八十一文得铜一斤，私造薄钱，斤馀二百。>,,,
,,19、<动>修饰；掩盖,<例句：小人之过也必文。>,,,
,,,<例句：文过饰非>,,,
,,20、<名>规定、仪式,<例句：仪者必又曰：省去繁文末节，则一岁可以再郊。>,,,
,,,<例句：繁文缛节>,,,
子曰：“无忧者，其惟文【王】乎！以王季为父，以武王为子，父作之，子述之,王,1、<名>帝王；君主,<例句：先王之所以为法者，何也?>,1,,
,,2、<名>秦汉以后帝王称皇帝，“王”成为封爵最高一级,<例句：王侯将相，宁有种乎。>,,,
,,3、<动>朝见王,<例句：莫敢不来王。>,,,
,,4、<动>称王；统治天下,<例句：沛公欲王关中。>,,,
,,5、<名使动>封……为王；拥戴……为王,<例句：先破秦入咸阳者王之。>,,,
,,6、<名>帝王；君主,<例句：先王之所以为法者，何也?>,,,
,,7、<名>秦汉以后帝王称皇帝，“王”成为封爵最高一级,<例句：王侯将相，宁有种乎。>,,,
,,8、<动>朝见王,<例句：莫敢不来王。>,,,
,,9、<动>称王；统治天下,<例句：沛公欲王关中。>,,,
,,10、<名使动>封……为王；拥戴……为王,<例句：先破秦入咸阳者王之。>,,,
子曰：“无忧者，其惟文王【乎】！以王季为父，以武王为子，父作之，子述之,乎,1、表疑问语气，可译为"吗""呢"。,<例句：儿寒乎？欲食乎？>,2,,
,,,<例句：岂有相公此时出见客乎？>,,,
,,,<例句：欲安所归乎？>,,,
,,2、表测度语气，可译为"吧"。,<例句：王之好乐甚，则齐其庶几乎。>,,,
,,,<例句：其皆出于此乎？>,,,
,,3、用于感叹句，可译为"啊""呀"等。,<例句：呜呼！孰知赋敛之毒有甚是蛇者乎！>,,,
,,4、用在句中的停顿处。,<例句：胡为乎遑遑欲何之？>,,,
,,5、表反问语气，“吗”“呢”。,<例句：夫庸知其年之先后生于吾乎？>,,,
,,6、表婉商语气，“吗”。,<例句：举大计亦死，等死，死国可乎>,,,
,,7、用于祈使句，可不译。,<例句：长铗归来乎﹗出无车>,,,
,,8、在。,<例句：出，跳梁乎井干之上。>,,,
,,9、对、对于。,<例句：吾尝疑乎是。>,,,
,,10、比。,<例句：其闻道也固先乎吾，吾从而师之。>,,,
,,11、此外，可作词尾。,<例句：恢恢乎其于游刃必有余地矣！>,,,
子曰：“无忧者，其惟文王乎！【以】王季为父，以武王为子，父作之，子述之,以,1、……身份"等。,<例句：以故法为其国与此同。>,2,,
,,,<例句：愿以十五城请易璧。>,,,
,,,<例句：乃入见。问："何以战？">,,,
,,,<例句：余船以次俱进。>,,,
