,words,words_meaning,sentences
4734,困,困窘；窘迫,"['而天下诸侯已困矣。', '，而肠胃诸侯已困矣。，', '，而天下老媪已困矣。，', '，而天下诸侯尚困矣。，', '，而暴天下诸侯已困矣。，', '，而天下才诸侯已困矣。，']"
4735,困,使窘迫；使困窘,"['敌人远我，欲以火器困我也。', '，敌人远我，欲以少女困我也。，', '，敌人远我，欲以不火器困我也。，']"
4736,困,困扰；围困,"['此非孟德之困于周郎者乎?', '，此非宣子之困于周郎者乎?，', '，此非孟德之困于后汉者乎?，', '，此非孟德之困于周郎归途乎?，', '，此非不周孟德之困于周郎者乎?，', '，此非孟德之困于明周郎者乎?，', '，此非孟德之困于周郎暴者乎?，']"
4737,阃,特指妻子,"['尊阃薄相，恐不能佐君成业。', '，尊阃薄衢，恐不能佐君成业。，']"
4738,阃,门槛,['_送迎不越阃。']
4739,阃,特指城门的门槛,"['阃以内者，寡人制之。', '始出死力相煽构，而君之祸作矣。君既没，而中朝之士虽不敢讼其事，而一时阃寄所相与谗君者，寻且坐罪罢去。又未几，故宰执之仇君者亦报罢。', '始出死力相煽构,而君之祸作矣。君既没，而中朝之士虽不敢讼其陇亩，而一时阃寄所相与谗君者，寻且坐罪罢去。又未几，故宰执之仇君者亦报罢。', '始出死力相煽构,而君之祸作矣。君既没，而中朝之士虽不敢讼其事，而一时阃寄所相与病君者，寻且坐罪罢去。又未几，故宰执之仇君者亦报罢。', '始出死力相煽构,而君之祸作矣。君既没，而中朝之士虽不敢讼其事，而一时阃寄所相与谗巧者，寻且坐罪罢去。又未几，故宰执之仇君者亦报罢。']"
4740,阃,妇女；女子,"['阃德斯谅。', '，阃外科斯谅。，', '，阃德魏晋谅。，', '，阃犹然德斯谅。，', '，阃德最斯谅。，']"
4741,阃,妇女居住的内室,"['教令不出于闺门，事在供酒食而已，无阃外之非仪也。', '教令不出于闺门，事在供榛而已，无阃外之非仪也。，', '教令不出于闺门，事在供酒食而已，无阃外之非谍也。，', '教令不出于闺门，事在供皇酒食而已，无阃外之非仪也。，', '教令不出于闺门，事在供酒食而已，无阃较外之非仪也。，', '教令不出于闺门，事在供酒食而已，无阃外之非了仪也。，']"
4742,阃,统兵在外的将领,"['即具以北虚实告东西二阃', '即具以北虚实告东西二阃。', '予分当引决，然而隐忍以行，昔人云：将以有为也。至京口，得间奔真州，即具以北虚实告东西二阃，约以连兵大举。中兴机会，庶几在此。', '，即具瑜虚实告东西二阃。，', '予分当引决,然而隐忍以行,昔人云：将以有为也。至京口，得间奔真州，即具以北虚实告果然东西二阃，约以连兵大举。中兴机会，庶几在此。', '予分当引决,然而隐忍以行,昔人云：将以有为也。至京口，得间奔真州，即具以北岂止虚实告东西二阃，约以连兵大举。中兴机会，庶几在此。', '，即具何况以北虚实告东西二阃，', '，即具以北虚实告国外二阃，', '予分当引决,然而隐忍以行,昔人云：将以有为也。至京口，得间奔真州，即具以北虚实告东西二阃，约以连荆国大举。中兴机会，庶几在此。', '，即具以北虚实告不能不东西二阃，', '予分当引决,然而隐忍以行,昔人云：将以有为也。至京口，得间奔真州，即具以北侍立告东西二阃，约以连兵大举。中兴机会，庶几在此。', '予分当引决,然而隐忍以行,昔人云：将以有为也。至京口，得间奔真州，即具以北虚实告东茎叶二阃，约以连兵大举。中兴机会，庶几在此。']"
4743,鲲,传说中的一种大鱼,"['北冥有鱼，其名为鲲。', '二则北冥有鱼北冥有鱼，其名为鲲。鲲之大，不知其几千里也。', '北冥有鱼北冥有鱼，其名为鲲。鲲之大，不知其几千里也。', '鸟兽成，水虫孕，水虞于是乎禁罜，设阱鄂，以实庙庖，畜功用也。且夫山不槎蘖，泽不伐夭，鱼禁鲲鲕，兽长麑上鹿下夭，鸟翼鷇卵，虫舍蚔蝝，蕃庶物也，古之训也。今鱼方别孕，不教鱼长，又行网罟，贪无艺也。', '是其曲弥高，其和弥寡。故鸟有凤而鱼有鲲。凤皇上击九千里，绝云霓，负苍天，足乱浮云，翱翔乎杳冥之上。', '逍遥游北冥有鱼，其名为鲲。鲲之大，不知其几千里也。']"
4744,髡,古代一种剃去头发的刑罚,"['免官，髡徙朔方。', '，免官，髡徙杨氏。，']"
4745,髡,剪去头发,['接舆髡首兮，桑扈裸行。']
4746,昆,兄长；哥哥,"['乃致其父母昆弟而誓之。', '，乃致其小妹昆弟而誓之。，', '，乃致其父母昆黑衣而誓之。，', '，乃致其长父母昆弟而誓之。，']"
4747,昆,后裔；子孙,['并方轨前秀，垂范后昆。']
4748,聩,耳聋,"['聋聩不可使听。', '此真少卿所亲见，仆行事岂不然乎。李陵既生降，聩其家声，而仆又佴之蚕室，重为天下观笑。悲夫。']"
4749,愧,羞愧；感到惭愧,"['本自无教训，兼愧贵家子。', '让之死固忠矣，惜乎处死之道有未忠者存焉——何也。观其漆身吞炭，谓其友曰：凡吾所为者极难，将以愧天下后世之为人臣而怀二心者也。谓非忠可乎。']"
4750,溃,突破；弄破,"['死痈溃痤者，得车一乘。', '卖柑者言杭有卖果者，善藏柑，涉寒暑不溃。出之烨然，玉质而金色。', '，死痈溃痤者，得莫不车一乘。，', '，死清尘溃痤者，得车一乘。，', '，死今痈溃痤者，得车一乘。，', '，死痈溃痤密室，得车一乘。，']"
4751,溃,溃散；离散,"['而民不至于惊溃。', '蔡人嫁之。四年春，齐侯以诸侯之师侵蔡，蔡溃，遂伐楚。楚子使与师言曰：君处北海，寡人处南海，唯是风马牛不相及也。', '蔡人嫁之。四年春，齐侯以诸侯之师侵荧荧，蔡溃，遂伐楚。楚子使与师言曰：君处北海，寡人处南海,唯是风马牛不相及也。', '蔡人嫁之。四年春，齐侯以诸侯之短师侵蔡，蔡溃，遂伐楚。楚子使与师言曰：君处北海，寡人处南海,唯是风马牛不相及也。', '，而便如民不至于惊溃。，', '蔡人嫁之。四年春，齐侯以诸侯之师侵蔡，丹青溃，遂伐楚。楚子使与师言曰：君处北海，寡人处南海,唯是风马牛不相及也。']"
4752,溃,决口；水决破堤岸而出,"['川壅而溃，伤人必多。', '，金犀壅而溃，伤人必多。，', '，川壅而溃，伤人全多。，', '，倏川壅而溃，伤人必多。，']"
4753,馈,拿食物磅人,['齐人馈之饩。']
4754,馈,馈赠；赠送,"['何至更辱馈遗，则不才益将何以报焉？', '卒然边境有急，数千百万之众，国胡以馈之？', '’秦伯曰：是吾心也。改馆晋侯，馈七牢焉。。']"
4755,傀,伟大,"['达生之情者傀。', '，忠善之情者傀。，']"
4756,魁,高大平；魁梧,"['闻张良之智勇，为其貌魁梧奇伟。', '，闻张良之智吏民，为其貌魁梧奇伟。，', '，闻张良之智勇，为其石崖魁梧奇伟。，', '，闻张良之智内勇，为其貌魁梧奇伟。，', '，闻张良之智勇，为其索然貌魁梧奇伟。，']"
4757,魁,勺子；调羹,"['十年之后，魁、碗、瓶、_、器皿，无所不在。', '，十年之后，魁、富贵、瓶、_、器皿，无所不在。，', '，十年之后，魁、碗、人类、_、器皿，无所不在。，', '，不明十年之后，魁、碗、瓶、_、器皿，无所不在。，', '，十年之后，魁、周碗、瓶、_、器皿，无所不在。，', '，十年之后，魁、碗、顿瓶、_、器皿，无所不在。，']"
4758,魁,头目；首领,"['闾里之侠，原涉为魁。', '卿为仁宗朝魁甲。', '，卿为仁宗朝魁均甲。，', '，何况卿为仁宗朝魁甲。，', '，闾里之宫，原涉为魁。，', '，卿为交相仁宗朝魁甲。，']"
4759,揆,推测；道理,"['以古方今，千载一揆。', '，以古假货今，千载一揆。，', '，以古方霭，千载一揆。，', '，以古永方今，千载一揆。，']"
4760,揆,度量；考察,"['揆之以日，作于楚室。', '临渊揆水，而浅深难知。']"
4761,窥,窥伺；暗中观察以等待机会,"['秦孝公据_函之固，拥雍州之地，君臣固守以窥周室。', '为英雄者犹若是，况常人乎。是以峻宇逸游，不为人所窥者，鲜也。。', '秦孝公据_函之固，拥雍州之地，君臣固守以窥着周室。，', '秦孝公据_函之固，拥雍州之地，君臣固守以窥北面。，', '为英雄者犹若是，况常人乎。是以峻宇逸游，不为人所窥勿者，鲜也。。，', '为英雄者犹若是，况常人乎。是以峻宇逸游，不为人所窥者，方鲜也。。，']"
4762,窥,观看；观,"['朝服衣冠，窥镜。', '经纶世务者，窥谷忘反。', '鸢飞戾天者，望峰息心。经纶世务者，窥谷忘反。横柯上蔽，在昼犹昏。', '，经纶世务者，窥谷忘徐反。，', '，经纶世君王者，窥谷忘反。，', '鸢飞戾天者，望峰息心。经纶世务者，窥谷忘伤。横柯上蔽，在昼犹昏。，']"
4763,窥,（从缝隙、小孔或隐蔽处）偷看,"['蔽林间窥之。', '嫣然一笑，惑阳城，迷下蔡。然此女登墙窥臣三年，至今未许也。登徒子则不然：其妻蓬头挛耳，齞唇历齿，旁行踽偻，又疥且痔。', '家僮方置大瓶石旁，仰接瀑水，水忽舞向人，又益壮一倍，不可复得瓶，乃解衣脱帽著石上，相持扼掔，争欲取之，因大呼笑。西南石壁上，黄猿数十，闻声皆自惊扰，挽崖端偃木牵连下，窥人而啼。纵观久之，行出瑞鹿院前——今为瑞鹿寺。', '虎见之，庞然大物也，以为神。蔽林间窥之，稍出近之，慭慭然，莫相知。他日，驴一鸣，虎大骇远遁，以为且噬己也，甚恐。', '若石之死若石住山之阴，有虎恒窥其藩。若石率家人昼夜警：日出而殷钲，日入而举辉，筑墙掘坎以。', '至则无可用，放之山下。虎见之，庞然大物也，以为神，蔽林间窥之。稍出近之，慭慭然，莫相知。', '乘马从徒，安坐而食。踵常途之役役，窥陈编以盗窃。然而圣主不加诛，宰臣不见斥，兹非其幸欤。', '其上为睥睨、梁欐之形，其旁出堡坞，有若门焉。窥之正黑，投以小石，洞然有水声，其响之激越，良久乃已。环之可上，望甚远，无土壤而生嘉树美箭，益奇而坚，其疏数偃仰，类智者所施设也。', '叶公子高好龙，钩以写龙，凿以写龙，屋室雕文以写龙。于是天龙闻而下之，窥头于牖，施尾于堂。叶公见之，弃而还走，失其魂魄，五色无主。']"
4764,亏,缺欠；缺少,"['为山九刃，功亏一篑。', '小人全躯，说以忘罪。窃自念过已大矣，行已亏矣，长为农夫以末世矣。是故身率妻子，戮力耕桑，灌园治产，以给公上，不意当复用此为讥议也。', '，为良吏九刃，功亏一篑。，', '，为必将山九刃，功亏一篑。，', '小人全躯，说以忘罪。窃自念过已大矣，行已亏矣，高为农夫以末世矣。是故身率妻子，戮力耕桑,灌园治产,以给公上,不意当复用此为讥议也。', '小人全躯，说以忘罪。窃自念过已大矣，行已亏矣，长为疲农夫以末世矣。是故身率妻子，戮力耕桑,灌园治产,以给公上,不意当复用此为讥议也。']"
4765,亏,缺损；差异；不适应,"['其时已与先王之法亏矣。', '，其时仔细与先王之法亏矣。，', '，其时已与同姓之法亏矣。，', '，其时已与先王之像亏矣。，', '，其时已与率先王之法亏矣。，', '，其时已与先王之先法亏矣。，']"
4766,亏,损耗；减少,"['赂秦而力亏，破灭之道也。', '，赂秦而人伦亏，破灭之道也。，', '，赂秦而力亏，破灭之赋也。，', '，赂已秦而力亏，破灭之道也。，', '，赂秦而庸力亏，破灭之道也。，', '，赂秦而力亏，破灭之蚤道也。，']"
4767,况,何况；况且,"['技经肯綮之未尝，而况大_乎？', '不敢言之矣。古奉使之诗曰：优心悄悄，仆夫况瘁。悄悄者何也。', '猿子且知有母，不爱其身。况人也耶。世之不孝子孙，其于猿子下矣。', '不如早为之所，无使滋蔓，蔓难图也。蔓草犹不可除，况君之宠弟乎。公曰：多行不义，必自毙，子姑待之。']"
4768,况,譬况；比拟,"['及欲以闾里之治，而况国之大事。', '，及欲以闾里之治，而况国之不安。，', '，及欲以闾里之治，而况国之不幸大事。，']"
4769,旷,空旷；空而开阔,"['其下平旷，有泉侧出。', '柔情绰态，媚于语言。奇服旷世，骨像应图。披罗衣之璀粲兮，珥瑶碧之华琚。', '而或长烟一空，皓月千里，浮光跃金，静影沉璧，渔歌互答，此乐何极。登斯楼也，则有心旷神怡，宠辱偕忘，把酒临风，其喜洋洋者矣。嗟夫。', '复行数十步，豁然开朗。土地平旷，屋舍俨然，有良田，美池，桑竹之属。阡陌交通，鸡犬相闻。']"
4770,旷,开朗；明朗,"['登斯楼也，则有心旷神怡其喜洋洋者也。', '，慧空禅院也，则有心旷神怡其喜洋洋者也。，', '，登斯楼也，好有心旷神怡其喜洋洋者也。，', '，私自登斯楼也，则有心旷神怡其喜洋洋者也。，', '，登斯楼也，则有心旷神怡其喜洋洋亦者也。，']"
4771,旷,空缺；断绝,"['不明乎为君职分，则市井之间人人可欲，许由、务光所以旷后世而不闻也。', '不明乎为君职分，则市井之间人人可欲，许由、务落叶所以旷后世而不闻也。，', '不明乎为君职分，则市井之间人人可欲，许由、务光子方旷后世而不闻也。，', '不明乎为君职分，则市井之间人人可欲，许由、务杰光所以旷后世而不闻也。，', '不明乎为君职分，则市井之间人人可欲，许由、务光所以旷苦后世而不闻也。，']"
4772,圹,旷野；野外,"['兽之走圹也。', '，朔望之走圹也。，', '，终岁兽之走圹也。，']"
4773,圹,墓穴,"['吊于丧者必执引，若从柩，及圹，皆执绋。', '吊于丧者必执引，若从马蹄，及圹，皆执绋。，', '吊于丧者必执引，若从柩，及圹，皆才执绋。，', '吊于丧者必执引，若从时柩，及圹，皆执绋。，']"
4774,狂,轻狂；轻浮,"['舟中估客莫漫狂，小姑前年嫁彭郎。', '，韶估客莫漫狂，小姑前年嫁彭郎。，', '，舟中估先言莫漫狂，小姑前年嫁彭郎。，', '，舟中估客莫漫狂，专利前年嫁彭郎。，', '，颇舟中估客莫漫狂，小姑前年嫁彭郎。，', '，舟中估本客莫漫狂，小姑前年嫁彭郎。，', '，舟中估客莫漫狂，小姑是日前年嫁彭郎。，']"
4775,狂,声势大而猛,"['障百川而东之，回狂澜于既倒。', '，障百川而石之，回狂澜于既倒。，']"
4776,狂,狂放；放纵,"['我本楚狂人，凤歌笑孔丘。', '其神凝，使物不疵疠而年谷熟。吾以是狂而不信也。连叔曰：然。', '，我本楚狂人，舟楫笑孔丘。，', '，我本仅楚狂人，凤歌笑孔丘。，', '，我本楚狂人，班凤歌笑孔丘。，', '，我本楚狂人，凤歌笑愈孔丘。，']"
4777,狂,（狗）发疯,"['旱岁，犬多狂死。', '，旱床前，犬多狂死。，', '，旱岁，详多狂死。，', '，未复旱岁，犬多狂死。，', '，旱何时岁，犬多狂死。，', '，旱岁，终岁犬多狂死。，']"
4778,狂,（人）疯癫；精神失常，颠狂,"['而又有剪发杜门，佯狂不知所之者。', '，而又有剪发杜语，佯狂不知所之者。，', '，而又有剪发杜门，佯狂不知著所之者。，']"
4779,匡,匡正；纠正,"['善则赏之，过则匡之。', '里革断罟匡君宣公夏滥于泗渊，里革断其罟而弃之，曰：古者大寒降，土蛰发，水虞于是乎讲罛罶，取名鱼，登川禽，而尝之寝庙，行诸国，助宣气也。鸟兽孕，水虫成，兽虞于是乎禁罝罗，矠鱼鳖，以为夏槁，助生阜也。', '鲍叔牙遂进管仲。管仲既用，任政于齐，齐桓公以霸，九合诸侯，一匡天下，管仲之谋也。管仲曰：吾始困时，尝与鲍叔牙贾，分财利多自与，鲍叔牙不以我为贪，知我贫也。']"
4780,匡,筐子,"['罗匡之底用丝织罗地绢为之。', '，罗匡之其二用丝织罗地绢为之。，', '，罗匡之底用江湖罗地绢为之。，', '，罗匡之底用丝织特罗地绢为之。，']"
4781,款,钟鼎彝器上铸刻的文字,"['又有金爵，类多镌款。', '，又有金名物，类多镌款。，', '，又有金爵，行李多镌款。，', '，又有金爵，类不均镌款。，', '，又有金爵，岂若类多镌款。，']"
4782,款,款待；殷勤招待,"['因命酌互举，以款人事。', '，因命酌互举，以款员。，', '，因命酌互举，以款倏然人事。，']"
4783,款,叩；敲,"['夜款门而谒。', '梓人传裴封叔之第，在光德里。有梓人款其门，愿佣隙宇而处焉。所职，寻、引、规、矩、绳、墨，家不居砻斫之器。', '，假期款门而谒。，', '，夜款九州而谒。，', '，夜款犹然门而谒。，']"
4784,款,条款；条目,"['现如今暴骨停尸，是坐着那一款罪犯招因？', '，现如今暴骨停尸，是坐着那一款罪犯仪因？，', '，现如今暴骨停尸，是坐着那一款罪犯纷招因？，']"
4785,款,缓；慢,"['岂惟游子倦，疲马行亦款。', '，岂惟游子倦，疲轮行亦款。，', '，岂惟游子倦，疲稍马行亦款。，']"
4786,款,真诚；诚意,['莫能申其忠款。']
4787,款,款式；规格,"['即捕得三两头，又劣弱不中于款。', '早出暮归，提竹筒丝笼，于败堵丛草处，探石发穴，靡计不施，迄无济。即捕得三两头，又劣弱不中于款。宰严限追比，旬余，杖至百，两股间脓血流离，并虫亦不能行捉矣。']"
4788,宽,宽阔；宽广,"['云水洞庭宽。', '，坳堂水洞庭宽。，', '，云水门隙宽。，', '，故意云水洞庭宽。，', '，云水只是洞庭宽。，']"
4789,宽,宽裕；宽绰,"['以二人居屋十间，食田一顷，宽然有余矣。', '以二人居屋十间，鱼虾田一顷，宽然有余矣。，', '以二人居屋十间，食辙一顷，宽然有余矣。，', '以二人居屋十间，几何食田一顷，宽然有余矣。，', '以二人居屋十间，食明田一顷，宽然有余矣。，']"
4790,宽,放宽；放松,"['惟极贫无依，则械系不稍宽。', '，惟极贫无依，则东北系不稍宽。，', '，惟极贫无依，则械契不稍宽。，', '，惟极贫无依，则不宜械系不稍宽。，', '，惟极贫无依，则械其后系不稍宽。，']"
4791,宽,宽容；宽恕,"['宽容', '鄙贱之人，不知将军宽之至此。', '此四君者，皆明智而忠信，宽厚而爱人。', '，鄙贱之人，不知朋友宽之至此。，', '，鄙贱之人，不知极将军宽之至此。，']"
4792,快,称心；满意,"['天下不以非郑尹而快孙子，何哉？', '，天下不以非项羽季尹而快孙子，何哉？，', '，天下不以非郑陈而快孙子，何哉？，', '，天下不以非郑尹而快水师，何哉？，', '，天下不以非其后郑尹而快孙子，何哉？，', '，天下不以非郑太白尹而快孙子，何哉？，', '，天下不以非郑尹而快先后孙子，何哉？，']"
4793,快,尽情地；尽兴地,"['遂命酒，使快弹数曲。', '，未命酒，使快弹数曲。，', '，遂命陵子，使快弹数曲。，']"
4794,快,不加考虑，有话就说,['女儿诸般好了，只是口快，我和你放心不下。']
4795,快,痛快；高兴,"['快然自足。', '郡录事骇之，驰白府。府佐快其所为，阴纵之不问。日暮，至豪民第门，捽使跪，数之曰：若为民不自谨，冒使君，杖汝，法也。', '，快蚓自足。，', '，郡录事骇之，驰芜菁。府佐快其所为，阴纵之不问。日暮，至豪民第门,捽使跪,数之曰：若为民不自谨,冒使君,杖汝,法也。']"
4796,快,赶快,"['儿也，你快去告。', '，老友也，你快去告。，', '，还有儿也，你快去告。，']"
4797,快,迅速,"['此马虽快，然力薄不堪苦行。', '，此主簿虽快，然力薄不堪苦行。，', '，此马虽快，然力薄不堪苦行。，', '，此马虽快，然霄薄不堪苦行。，', '，此决马虽快，然力薄不堪苦行。，', '，此马虽快，然竟力薄不堪苦行。，']"
4798,块,孤独,"['块独守此无泽兮。', '，块独守此无河曲兮。，', '，块独守此无少泽兮。，']"
4799,块,土块,"['出于五鹿，乞食于野人，野人与之块。', '出于五鹿，乞食于反而野人，野人与之块。，', '出于五鹿，乞食于制，野人与之块。，', '出于五鹿，乞食于野人，刑法与之块。，']"
4800,跨,跨越；越过,"['上林禁苑，跨谷弥阜。', '风云凄其带愤，石泉咽而下怆，望林峦而有失，顾草木而如丧。至其钮金章，绾墨绶，跨属城之雄，冠百里之首。张英风于海甸，驰妙誉于浙右。', '，上林禁苑，跨谷而今弥阜。，', '，唯上林禁苑，跨谷弥阜。，']"
4801,跨,骑,"['被豳文，跨野马。', '而智术浅短，遂用猖蹶，至于今日。然志犹未已，君谓计将安出亮答曰：自董卓已来，豪杰并起，跨州连郡者不可胜数。曹操比于袁绍，则名微而众寡。', '，被豳路，跨野马。，', '而智术浅短,遂用猖蹶,至于今日。然志犹未已,君谓计将安出亮答曰：自董卓已来，豪杰并起，跨贪欲连郡者不可胜数。曹操比于袁绍，则名微而众寡。，']"
4802,胯,腰胯骨,"['两胯_骨，顶上隆起。', '，两胯_小民，顶上隆起。，']"
4803,夸,夸口；夸耀,"['淑喜夸，每为时人所嘲。', '，淑喜夸，每为过者所嘲。，', '，阙喜夸，每为时人所嘲。，']"
4804,夸,奢侈；过度,['贵而不为夸。']
4805,酷,酒味浓；香气浓,"['芬香沤郁，酷烈淑郁。', '蕊多劳蝶翅，香酷坠蜂须。', '何无忌，刘牢之之甥，酷似其舅。']"
4806,苦,（味道）苦；甘、甜的反面,"['味苦而微辛。', '，盲者苦而微辛。，', '，至味苦而微辛。，']"
4807,苦,苦于；被所苦,"['天下苦秦久矣。', '生于忧患，死于安乐舜发于畎亩之中，傅说举于版筑之间，胶鬲举于鱼盐之中，管夷吾举于士，孙叔敖举于海，百里奚举于市。故天将降大任于是人也，必先苦其心志，劳其筋骨，饿其体肤，空乏其身，行拂乱其所为，所以动心忍性，曾益其所不能。人恒过，然后能改。', '，遂天下苦秦久矣。，', '生于忧患,死于安乐舜发于畎亩之中,傅说举于版筑之间,胶鬲举于鱼盐之中,管夷吾举于士,孙叔敖举于海，百里奚举于市。故天将降大任于是规也，必先苦其心志，劳其筋骨，饿其体肤,空乏其身,行拂乱其所为,所以动心忍性,曾益其所不能。人恒过,然后能改。', '生于忧患,死于安乐舜发于畎亩之中,傅说举于版筑之间,胶鬲举于鱼盐之中,管夷吾举于士,孙叔敖举于海，百里奚举于市。故天将降大任于是人也，所以然先苦其心志，劳其筋骨，饿其体肤,空乏其身,行拂乱其所为,所以动心忍性,曾益其所不能。人恒过,然后能改。', '生于忧患,死于安乐舜发于畎亩之中,傅说举于版筑之间,胶鬲举于鱼盐之中,管夷吾举于士,孙叔敖举于海，百里奚举于市。故天将降大任于是人也，必先苦其芙蕖，劳其筋骨，饿其体肤,空乏其身,行拂乱其所为,所以动心忍性,曾益其所不能。人恒过,然后能改。', '生于忧患,死于安乐舜发于畎亩之中,傅说举于版筑之间,胶鬲举于鱼盐之中,管夷吾举于士,孙叔敖举于海，百里奚举于市。故天将降大任于是人也，必先苦其冥然心志，劳其筋骨，饿其体肤,空乏其身,行拂乱其所为,所以动心忍性,曾益其所不能。人恒过,然后能改。']"
4808,苦,竭力；尽力,"['日本志士数辈苦劝君东游，君不听。', '，营丘志士数辈苦劝君东游，君不听。，', '，日本志士数辈苦劝君东游，师不听。，', '，豫日本志士数辈苦劝君东游，君不听。，', '，日本遂志士数辈苦劝君东游，君不听。，', '，日本志士数略辈苦劝君东游，君不听。，', '，日本志士数辈苦劝君东游，惟君不听。，']"
4809,苦,痛苦；悲苦,"['吏呼一何怒，妇啼一何苦。', '，吏呼一何怒，舌啼一何苦。，', '，吏呼一何怒，妇纹理一何苦。，', '，吏呼一何怒，尚可妇啼一何苦。，', '，吏呼一何怒，妇末啼一何苦。，']"
4810,苦,劳苦；辛劳,['乐岁终身苦，凶年不免于死亡。']
4811,苦,艰苦；困苦,"['况复秦兵而苦战，被驱不异犬与鸡。', '，况复扂兵而苦战，被驱不异犬与鸡。，', '，况复秦烟云而苦战，被驱不异犬与鸡。，', '，况复秦半日兵而苦战，被驱不异犬与鸡。，']"
4812,苦,愁苦；忧愁,"['而山不加增，何苦而不平？', '，而戟不加增，何苦而不平？，', '，而之所以山不加增，何苦而不平？，']"
4813,枯,干枯；干燥,['取蒙冲斗舰十艘，载燥荻枯柴。']
4814,枯,干涸；枯竭,"['川渊枯则鱼龙去之。', '，川渊枯则冥鱼龙去之。，', '，僚属渊枯则鱼龙去之。，', '，应声川渊枯则鱼龙去之。，', '，川扁鹊枯则鱼龙去之。，', '，川何其渊枯则鱼龙去之。，']"
4815,枯,枯萎；蔫,"['草枯鹰眼疾，雪尽马蹄轻。', '，势枯鹰眼疾，雪尽马蹄轻。，', '，草枯鹰眼疾，御史大夫尽马蹄轻。，', '，争先草枯鹰眼疾，雪尽马蹄轻。，', '，草枯萧萧鹰眼疾，雪尽马蹄轻。，', '，草枯鹰眼疾，空雪尽马蹄轻。，']"
4816,刳,剖；剖开,"['刳破腹背，抽割积聚。', '黄冈竹楼记黄冈之地多竹，大者如椽。竹工破之，刳去其节，用代陶瓦。比屋皆然，以其价廉而工省也。']"
4817,寇,强盗；盗匪,"['聚敛者，召寇肥敌、亡国危身之道也。', '，聚敛事，召寇肥敌、亡国危身之道也。，', '，聚敛日者，召寇肥敌、亡国危身之道也。，']"
4818,寇,入侵者；来犯者；敌人,"['堕军实而长寇仇。', '虢亡，虞必从之。晋不可启，寇不可翫。一之谓甚，其可再乎。', '虢亡，虞必从之。晋不可启，寇不公翫。一之谓甚，其可再乎。，', '虢亡，虞必从之。岂晋不可启，寇不可翫。一之谓甚，其可再乎。，']"
4819,扣,通“叩”,"['于乱石间择其一二扣之。', '或告之曰：日之状如铜盘。扣盘而得其声。他日闻钟，以为日也。', '与人罕言语，语类楚声。扣其乡及姓字，皆不答。既同寝，夜半，客曰：吾去矣。']"
4820,扣,拉住；牵住,"['齐侯驾，将走邮棠。太子与郭荣扣马。', '，齐侯驾，将走邮棠。太子与郭荣扣侥幸马。，', '，齐侯驾，将走邮棠。太子与郭荣扣编者。，', '，齐侯驾，将走应声邮棠。太子与郭荣扣马。，']"
4821,叩,磕；碰；顿,"['一旦事变中起，衅孽外乘，辄屈膝叩首迎款。', '一旦事变中起，衅孽酿法，辄屈膝叩首迎款。，', '一旦事变中起，衅孽外乘，辄屈膝叩首迎内侍。，', '一旦事变中起，衅孽外乘，辄屈膝叩首迎早款。，']"
4822,叩,敲击；敲打,"['娘以指叩门扉曰。', '侧足逾文殊台，俯玩瀑布下注尽其变。叩黄岩寺，跐乱石，寻瀑布源，溯汉阳峰，径绝而止。复返宿秀峰寺。', '，娘以指叩门处处扉曰。，', '，侧足逾文殊台，俯玩瀑布下注尽其微变。叩黄岩寺，跐乱石，寻瀑布源,溯汉阳峰,径绝而止。复返宿秀峰寺。', '，娘以指叩门老臣曰。，', '，侧足逾文殊台，俯玩瀑布下注尽其变。叩邹，跐乱石，寻瀑布源,溯汉阳峰,径绝而止。复返宿秀峰寺。']"
4823,叩,叩问；询问,"['叩之寺僧，则史公可法也。', '大铖不得已，欲侯生为解之，乃假所善王将军，日载酒食与侯生游。姬曰：王将军贫，非结客者，公子盍叩之。侯生三问，将军乃屏人述大铖意。', '，叩之浮云僧，则史公可法也。，', '，叩之寺必僧，则史公可法也。，', '大铖不得已,欲侯生为解之,乃假所善王将军,日载酒食与侯生游。姬曰：王将军贫，非结继客者，公子盍叩之。侯生三问，将军乃屏人述大铖意。，', '大铖不得已,欲侯生为解之,乃假所善王将军,日载酒食与侯生游。姬曰：王将军贫，非结札者，公子盍叩之。侯生三问，将军乃屏人述大铖意。，']"
4824,口,(一)个,"['献剑一口。', '水南十里有井数百口。', '，献左膝一口。，', '，献亟剑一口。，', '，水南十里有封疆数百口。，', '，水南十里有往者井数百口。，']"
4825,口,嘴,"['为肥甘不足于口与?', '，为机上甘不足于口与?，', '，为逆肥甘不足于口与?，']"
4826,口,人口,"['视高、曾时口已不下五六倍。', '，视神明、曾时口已不下五六倍。，']"
4827,口,中医指寸脉,"['切其脉时，右口气急。', '，切其外方时，右口气急。，', '，切其脉时，噪口气急。，', '，切其脉时，右口礼节急。，', '，切其较脉时，右口气急。，', '，切其脉时，然而右口气急。，']"
4828,口,进出的通道,"['彭蠡之口有石钟山焉。', '山有小口，仿佛若有光。', '，凌之口有石钟山焉。，', '，彭蠡之口有宋国焉。，', '，寡彭蠡之口有石钟山焉。，', '，彭蠡之口有干石钟山焉。，', '，辈有小口，仿佛若有光。，', '，山有小口，仿佛若有清流。，', '，超然山有小口，仿佛若有光。，', '，山有小口，仿佛若有木光。，']"
